ID,step,angle,x,y,x_m,y_m,date,hour,cosHour,sinHour,behavior,Elephant,Stage,Zone
E2,0.015522242848130283,0.8433846132986523,460.84722505710545,6280.5551073938805,460847.2250571055,6280555.10739388,2022-08-08T00:18:00Z,0.3,0.996917333733128,0.07845909572784494,Resting,E2,pre,KW_Home
E2,0.011431248571987754,-0.2459234715215941,460.84716175579024,6280.570629507653,460847.16175579024,6280570.629507653,2022-08-08T00:49:00Z,0.8166666666666667,0.9772311064626789,0.21217767215644626,Resting,E2,pre,KW_Home
E2,0.002891247198391275,0.9426335752602282,460.8498994790729,6280.581728080316,460849.8994790729,6280581.7280803155,2022-08-08T01:18:00Z,1.3,0.9426414910921784,0.3338068592337709,Resting,E2,pre,KW_Home
E2,0.008422184944771784,0.7420591313237992,460.8480351440426,6280.58393795933,460848.03514404263,6280583.93795933,2022-08-08T01:49:00Z,1.8166666666666667,0.8890171414857364,0.45787391511695674,Resting,E2,pre,KW_Home
E2,0.0014456237122432382,2.399534525266051,460.8396818046437,6280.5850126314335,460839.6818046437,6280585.012631433,2022-08-08T02:19:00Z,2.3166666666666664,0.8216469379421637,0.5699967625963029,Resting,E2,pre,KW_Home
E2,0.004434926434050087,-0.6967104485613831,460.84061397334,6280.583907692775,460840.61397334,6280583.907692775,2022-08-08T02:49:00Z,2.8166666666666664,0.7402181274868321,0.6723668074346679,Resting,E2,pre,KW_Home
E2,0.010009387600576555,2.65977323088718,460.8406320623486,6280.5794728032315,460840.6320623486,6280579.472803231,2022-08-08T03:19:00Z,3.3166666666666664,0.646123979642964,0.7632324697825287,Resting,E2,pre,KW_Home
E2,0.007503601345255757,-0.9406748276717853,460.8452341181857,6280.588361499548,460845.2341181857,6280588.361499548,2022-08-08T03:49:00Z,3.8166666666666664,0.540974471367994,0.8410390129643924,Resting,E2,pre,KW_Home
E2,0.011003896559599326,0.9873806192844952,460.8526507714466,6280.589500484867,460852.6507714466,6280589.500484867,2022-08-08T04:20:00Z,4.333333333333333,0.4226182617406996,0.9063077870366498,Resting,E2,pre,KW_Home
E2,0.010149596892022323,-2.8903107401303467,460.85724832299724,6280.599497897494,460857.24832299724,6280599.497897494,2022-08-08T04:49:00Z,4.816666666666666,0.3048642990280109,0.9523957996432784,Resting,E2,pre,KW_Home
E2,0.004336872281813518,2.6287119228586624,460.8554337120522,6280.589511831993,460855.43371205224,6280589.511831993,2022-08-08T05:19:00Z,5.316666666666666,0.177943545473842,0.9840406976462908,Resting,E2,pre,KW_Home
E2,0.00570764128566253,1.6453841907331324,460.8582030920349,6280.592849345394,460858.2030920349,6280592.8493453935,2022-08-08T05:50:00Z,5.833333333333333,0.04361938736533601,0.9990482215818578,Resting,E2,pre,KW_Home
E2,0.0064935865806300995,0.622123555753908,460.85355129387347,6280.596156601494,460853.55129387346,6280596.156601494,2022-08-08T06:20:00Z,6.333333333333333,-0.08715574274765801,0.9961946980917455,Resting,E2,pre,KW_Home
E2,0.0034531313163842997,-1.2988132274450148,460.84705776128044,6280.596130122381,460847.05776128045,6280596.13012238,2022-08-08T06:50:00Z,6.833333333333333,-0.2164396139381028,0.9762960071199334,Resting,E2,pre,KW_Home
E2,0.0144562495709854,0.4247292789833039,460.84611654898913,6280.599452506361,460846.11654898914,6280599.452506361,2022-08-08T07:20:00Z,7.333333333333333,-0.3420201433256685,0.9396926207859084,Resting,E2,pre,KW_Home
E2,0.023225712499021056,0.3764243646220291,460.83679484404246,6280.610501894061,460836.79484404245,6280610.5018940605,2022-08-08T07:50:00Z,7.833333333333333,-0.46174861323503374,0.8870108331782218,Foraging,E2,pre,KW_Home
E2,0.042386714219027496,-0.4941878966032207,460.81634131784386,6280.621505847311,460816.3413178439,6280621.505847311,2022-08-08T08:20:00Z,8.333333333333334,-0.5735764363510462,0.8191520442889917,Foraging,E2,pre,KW_Home
E2,0.4644976138766828,0.4778204075521182,460.79300518292047,6280.656890283849,460793.0051829205,6280656.890283849,2022-08-08T08:50:00Z,8.833333333333334,-0.6755902076156602,0.7372773368101241,Movement,E2,pre,KW_Home
E2,0.3032359267984832,-1.5334837918774922,460.38760595197374,6280.88362690825,460387.60595197376,6280883.62690825,2022-08-08T09:20:00Z,9.333333333333334,-0.7660444431189782,0.6427876096865391,Movement,E2,pre,KW_Home
E2,0.04224596270103047,-2.2584796405256578,460.52564973794233,6281.153619390473,460525.6497379423,6281153.619390473,2022-08-08T09:50:00Z,9.833333333333334,-0.8433914458128857,0.5372996083468238,Foraging,E2,pre,KW_Home
E2,0.021065890533264478,-0.406367133262757,460.5425078217953,6281.114882762156,460542.5078217953,6281114.882762156,2022-08-08T10:21:00Z,10.35,-0.9081431738250811,0.4186597375374284,Foraging,E2,pre,KW_Home
E2,0.10830878635150343,-1.0453426204572545,460.5425943831137,6281.093817049467,460542.59438311367,6281093.817049467,2022-08-08T10:51:00Z,10.85,-0.9550199444571866,0.296541574975571,Foraging,E2,pre,KW_Home
E2,0.7913442626863594,0.4730509791273976,460.44912086666045,6281.039104208901,460449.12086666044,6281039.1042089015,2022-08-08T11:21:00Z,11.35,-0.9855560590580776,0.16934950384902525,Movement,E2,pre,KW_Home
E2,0.1310589360072933,1.1657134604742754,460.02329768826496,6280.372095691094,460023.297688265,6280372.095691094,2022-08-08T11:51:00Z,11.85,-0.9992290362407229,0.03925981575906895,Movement,E2,pre,KW_Home
