Elephant,Period,BufferDistance,Type,EventCount,Days,EventRate
E3,POST,50,Bounce,15,519.9688657407407,0.028847881071939183
E3,POST,50,Crossing,351,519.9688657407407,0.6750404170833768
E3,POST,100,Bounce,27,519.9688657407407,0.051926185929490526
E3,POST,100,Crossing,351,519.9688657407407,0.6750404170833768
E3,POST,200,Bounce,39,519.9688657407407,0.07500449078704187
E3,POST,200,Crossing,351,519.9688657407407,0.6750404170833768
E3,PRE,50,Bounce,83,486.97291666666666,0.17044069014789495
E3,PRE,50,Crossing,22,486.97291666666666,0.04517705040064685
E3,PRE,100,Bounce,103,486.97291666666666,0.2115107359666648
E3,PRE,100,Crossing,22,486.97291666666666,0.04517705040064685
E3,PRE,200,Bounce,148,486.97291666666666,0.30391833905889704
E3,PRE,200,Crossing,22,486.97291666666666,0.04517705040064685
E4,POST,50,Bounce,21,519.9822453703704,0.04038599430455981
E4,POST,50,Crossing,329,519.9822453703704,0.632713910771437
E4,POST,100,Bounce,19,519.9822453703704,0.03653970913269697
E4,POST,100,Crossing,329,519.9822453703704,0.632713910771437
E4,POST,200,Bounce,27,519.9822453703704,0.051924849820148326
E4,POST,200,Crossing,329,519.9822453703704,0.632713910771437
E4,PRE,50,Bounce,42,486.9840277777778,0.08624512839087524
E4,PRE,50,Crossing,22,486.9840277777778,0.045176019633315606
E4,PRE,100,Bounce,62,486.9840277777778,0.12731423714843487
E4,PRE,100,Crossing,22,486.9840277777778,0.045176019633315606
E4,PRE,200,Bounce,90,486.9840277777778,0.18481098940901838
E4,PRE,200,Crossing,22,486.9840277777778,0.045176019633315606
