ID,step,angle,x,y,x_m,y_m,date,hour,cosHour,sinHour,behavior,Stage,Elephant,Zone,month,Season
E1,0.038138953636929,1.7911516602758826,463.6442995204509,6280.260095405001,463644.2995204509,6280260.095405001,2022-09-06T19:44:00Z,19.73333333333333,0.4383711467890774,-0.898794046299167,Resting,pre,E1,Home,9,Spring
E1,0.0722819141522236,0.2972147354155373,463.6786841121404,6280.243594506878,463678.6841121404,6280243.594506878,2022-09-06T20:13:00Z,20.216666666666665,0.5482932295199132,-0.8362861558477599,Foraging,pre,E1,Home,9,Spring
E1,0.0263842676291249,0.7829637541637898,463.7501520257375,6280.232777278047,463750.1520257375,6280232.777278047,2022-09-06T20:43:00Z,20.716666666666665,0.6527597524627218,-0.7575649843840502,Foraging,pre,E1,Home,9,Spring
E1,0.0546094123168432,1.9565259607611576,463.7714284734258,6280.248379917314,463771.4284734258,6280248.379917314,2022-09-06T21:14:00Z,21.23333333333333,0.7489557207890024,-0.6626200482157372,Foraging,pre,E1,Home,9,Spring
E1,0.1739567906832365,0.4282887463154039,463.7249389733664,6280.277031519326,463724.9389733664,6280277.031519325,2022-09-06T21:43:00Z,21.716666666666665,0.8265897491271884,-0.5628049276950688,Foraging,pre,E1,Home,9,Spring
E1,0.188336913240019,0.1101765841997006,463.5523185347228,6280.298552420499,463552.3185347229,6280298.552420499,2022-09-06T22:13:00Z,22.216666666666665,0.8929789434111364,-0.4500984410374362,Foraging,pre,E1,Home,9,Spring
E1,0.0599121656348156,-0.3614619175214506,463.3639996985159,6280.301161791774,463363.9996985159,6280301.1617917735,2022-09-06T22:44:00Z,22.73333333333333,0.9455185755993168,-0.3255681544571567,Foraging,pre,E1,Home,9,Spring
E1,0.012180857405429,0.9568816882937484,463.308257934503,6280.32312365271,463308.25793450297,6280323.12365271,2022-09-06T23:14:00Z,23.23333333333333,0.9799247046208296,-0.1993679344171973,Sleeping,pre,E1,Home,9,Spring
E1,0.0137231301184981,2.892929019221706,463.2980795585181,6280.316432318804,463298.0795585181,6280316.432318804,2022-09-06T23:44:00Z,23.73333333333333,0.9975640502598244,-0.0697564737441247,Sleeping,pre,E1,Home,9,Spring
E1,0.0043226089361968,-2.9320060858416275,463.31104926617536,6280.320916845929,463311.04926617537,6280320.916845929,2022-09-07T00:15:00Z,0.25,0.9978589232386036,0.065403129230143,Sleeping,pre,E1,Home,9,Spring
E1,0.002217458980739,-2.1094615887943533,463.3073472665721,6280.318685221643,463307.3472665721,6280318.685221643,2022-09-07T00:45:00Z,0.75,0.9807852804032304,0.1950903220161282,Sleeping,pre,E1,Home,9,Spring
E1,0.0034531172342184,-2.869617865904905,463.3073387910354,6280.320902664426,463307.3387910354,6280320.902664427,2022-09-07T01:14:00Z,1.2333333333333334,0.9483236552061992,0.3173046564050921,Sleeping,pre,E1,Home,9,Spring
E1,0.0044349179571119,2.869617769291588,463.3082791228063,6280.317580045761,463308.2791228063,6280317.580045762,2022-09-07T01:45:00Z,1.75,0.8968727415326884,0.4422886902190012,Sleeping,pre,E1,Home,9,Spring
E1,0.0157267208728856,-2.170016098666474,463.3082621721614,6280.322014931325,463308.26217216137,6280322.014931325,2022-09-07T02:15:00Z,2.25,0.8314696123025452,0.5555702330196022,Sleeping,pre,E1,Home,9,Spring
E1,0.012747973556534,2.465355823436392,463.32128272592325,6280.31319478795,463321.2827259232,6280313.19478795,2022-09-07T02:45:00Z,2.75,0.7518398074789774,0.6593458151000688,Sleeping,pre,E1,Home,9,Spring
E1,0.0096146666370437,2.45004614952582,463.3175256513078,6280.325376545628,463317.5256513078,6280325.3765456285,2022-09-07T03:15:00Z,3.25,0.6593458151000688,0.7518398074789774,Sleeping,pre,E1,Home,9,Spring
E1,0.0082449476992118,0.740492197573005,463.313849070604,6280.316492595557,463313.849070604,6280316.492595557,2022-09-07T03:45:00Z,3.75,0.5555702330196024,0.8314696123025451,Sleeping,pre,E1,Home,9,Spring
E1,0.0261009876702894,1.6187994207521117,463.3166615825943,6280.308742180157,463316.6615825943,6280308.742180157,2022-09-07T04:15:00Z,4.25,0.4422886902190012,0.8968727415326884,Resting,pre,E1,Home,9,Spring
E1,0.0426291662557969,1.3314227689651488,463.3407415348672,6280.318812803569,463340.7415348672,6280318.812803569,2022-09-07T04:45:00Z,4.75,0.3214394653031617,0.9469301294951056,Resting,pre,E1,Home,9,Spring
E1,0.0220439287852975,0.1460849646577111,463.3340872885997,6280.360919416141,463334.0872885997,6280360.919416141,2022-09-07T05:15:00Z,5.25,0.1950903220161283,0.9807852804032304,Resting,pre,E1,Home,9,Spring
E1,0.066878546640216,-0.0894137109992947,463.3275134583512,6280.381960318026,463327.5134583512,6280381.960318026,2022-09-07T05:46:00Z,5.766666666666667,0.0610485395348569,0.9981347984218668,Resting,pre,E1,Home,9,Spring
E1,0.020677244552818,1.9920563941920468,463.3133491098301,6280.447321707483,463313.34910983016,6280447.321707482,2022-09-07T06:16:00Z,6.266666666666667,-0.0697564737441253,0.9975640502598242,Resting,pre,E1,Home,9,Spring
E1,0.0382519719399974,1.1105313096424445,463.2966983788903,6280.435061952124,463296.6983788902,6280435.061952123,2022-09-07T06:45:00Z,6.75,-0.1950903220161282,0.9807852804032304,Resting,pre,E1,Home,9,Spring
E1,0.0410649185126475,-0.2157748700049542,463.30333588304353,6280.397390253252,463303.33588304353,6280397.390253251,2022-09-07T07:15:00Z,7.25,-0.3214394653031616,0.9469301294951056,Resting,pre,E1,Home,9,Spring
E1,0.0914866402556856,-0.066571717724283,463.3016374497631,6280.35636047313,463301.63744976313,6280356.36047313,2022-09-07T07:45:00Z,7.75,-0.4422886902190011,0.8968727415326884,Foraging,pre,E1,Home,9,Spring
E1,0.1948908918405096,-0.3151705694042868,463.2917812524419,6280.265406304893,463291.7812524419,6280265.406304893,2022-09-07T08:16:00Z,8.266666666666667,-0.5591929034707467,0.8290375725550417,Foraging,pre,E1,Home,9,Spring
E1,0.018502529735443,-0.4241551699110055,463.2117587307212,6280.087701899377,463211.75873072114,6280087.701899377,2022-09-07T08:46:00Z,8.766666666666667,-0.6626200482157376,0.7489557207890021,Foraging,pre,E1,Home,9,Spring
